distance (mi),altitude (ft)
0,5795.4
0.01,5797.3
0.042,5804.3
0.044,5805
0.075,5815.7
0.086,5819.1
0.091,5820.7
0.101,5824.4
0.114,5827.5
0.147,5829.3
0.155,5830.8
0.161,5832.2
0.174,5835.1
0.179,5836.2
0.185,5837.7
0.191,5838.8
0.222,5848.2
0.229,5848.3
0.238,5848.8
0.242,5849.6
0.247,5848.9
0.255,5847.5
0.258,5847.2
0.264,5846.2
0.27,5845.4
0.278,5843.3
0.282,5842.5
0.293,5839.4
0.298,5838
0.304,5836.3
0.313,5837.2
0.317,5838.5
0.321,5838.9
0.327,5841
0.333,5842.9
0.341,5842.9
0.349,5843.5
0.354,5843.7
0.364,5843.7
0.37,5843.5
0.379,5843.7
0.385,5844.8
0.39,5845.7
0.396,5846.8
0.402,5848.1
0.409,5849.6
0.419,5852.4
0.428,5855.3
0.436,5858.3
0.443,5863.6
0.45,5868.9
0.453,5871.7
0.462,5878.7
0.472,5883
0.484,5884.7
0.492,5885.2
0.5,5885.8
0.513,5888
0.518,5889
0.523,5889.9
0.536,5891.6
0.548,5892.8
0.553,5893.4
0.564,5896.1
0.576,5900.3
0.591,5907.6
0.605,5916.8
0.618,5921.8
0.634,5925.3
0.648,5926
0.665,5927.8
0.682,5931.6
0.693,5933.8
0.716,5939.4
0.728,5947.7
0.749,5959.1
0.759,5962.8
0.764,5963.2
0.774,5964.8
0.78,5965.3
0.787,5966.9
0.8,5970.9
0.807,5974
0.812,5976.6
0.816,5979.1
0.82,5981.1
0.833,5984.6
0.839,5987
0.843,5987.5
0.854,5992.1
0.861,5994.2
0.872,5998.3
0.878,5998.8
0.886,5999.6
0.898,6004.4
0.909,6012.8
0.918,6018.3
0.926,6024.2
0.935,6034.1
0.945,6041.6
0.954,6049.1
0.958,6052.4
0.97,6050.4
0.979,6056.4
0.987,6061.2
0.997,6070.8
1.001,6075
1.01,6079.4
1.015,6084.2
1.022,6090.5
1.025,6092.6
1.027,6094.2
1.033,6097
1.044,6097.9
1.049,6100.4
1.054,6104.7
1.062,6105.1
1.073,6112.2
1.085,6124.7
1.098,6133.7
1.108,6140.3
1.116,6142
1.125,6140.7
1.13,6139.2
1.138,6142.1
1.146,6146.6
1.156,6153
1.17,6158.2
1.179,6163.3
1.19,6172.5
1.202,6186.7
1.208,6196.5
1.212,6199.1
1.219,6200.3
1.234,6207.4
1.252,6220.9
1.261,6227.7
1.272,6239.5
1.291,6256.3
1.306,6269
1.313,6270.9
1.326,6269.8
1.332,6266.9
1.337,6263.8
1.342,6263.7
1.348,6269.4
1.36,6278.8
1.363,6279.7
1.369,6276.3
1.375,6280.3
1.382,6290.4
1.394,6300.7
1.402,6304.6
1.411,6317.1
1.426,6331.3
1.435,6340.3
1.448,6344.5
1.456,6351.1
1.466,6353.1
1.478,6363.3
1.487,6373.3
1.5,6380.6
1.511,6389.2
1.53,6399.2
1.549,6418.2
1.56,6419.7
1.575,6433.9
1.584,6442.3
1.587,6441.3
1.593,6428.8
1.599,6435.6
1.604,6443
1.612,6447.4
1.621,6453.8
1.632,6472.5
1.638,6480.9
1.646,6477.3
1.655,6472.8
1.661,6461.7
1.668,6454.1
1.672,6454.5
1.679,6462.9
1.686,6457.9
1.697,6442.2
1.709,6451.9
1.718,6460.1
1.729,6466.2
1.743,6473.9
1.754,6482.9
1.772,6490
1.787,6495
1.799,6503.2
1.807,6506.2
1.819,6536.7
1.839,6573.3
1.857,6587
1.868,6596.6
1.874,6583.6
1.886,6583.9
1.898,6589.6
1.908,6585.8
1.921,6582.7
1.929,6579.2
1.938,6579.1
1.949,6579
1.955,6584.5
1.967,6596
1.98,6601.7
1.988,6601.5
1.991,6606.4
1.997,6612
2.01,6612.8
2.02,6614.8
2.034,6630.7
2.049,6638.1
2.064,6650.8
2.08,6652.7
2.097,6671.9
2.108,6688
2.126,6700.8
2.139,6706
2.155,6708.6
2.161,6716.8
2.175,6716.2
2.191,6731.2
2.199,6729.9
2.205,6725
2.209,6738.9
2.216,6743.9
2.222,6739
2.23,6742
2.24,6744.6
2.246,6758.9
2.267,6777.7
2.293,6804
2.308,6817.1
2.314,6824.2
2.331,6823.9
2.344,6828.6
2.354,6835.6
2.368,6849.2
2.383,6840.2
2.394,6842.2
2.413,6861.2
2.428,6887.2
2.431,6890.1
2.44,6877.2
2.443,6883.9
2.446,6893
2.459,6909
2.47,6908.8
2.483,6903.9
2.508,6916.8
2.526,6938.9
2.534,6932.6
2.542,6920.2
2.555,6928.9
2.567,6934.8
2.579,6933.8
2.587,6924.1
2.595,6920.7
2.598,6922.9
2.606,6938.7
2.617,6952.3
2.641,6959.9
2.659,6970.2
2.669,6983.6
2.685,7005.9
2.695,7014.3
2.702,7026.8
2.721,7041.7
2.738,7046
2.741,7046.7
2.756,7056.8
2.776,7078.2
2.786,7084.9
2.806,7084.5
2.823,7093.4
2.834,7100.4
2.85,7110.8
2.863,7116.2
2.873,7134
2.896,7147.7
2.917,7150.4
2.935,7166.5
2.95,7189.1
2.967,7213.1
2.991,7234.8
3.006,7267.9
3.019,7270.8
3.031,7249.5
3.034,7251.4
3.041,7272.2
3.054,7308
3.068,7336.9
3.072,7339.4
3.089,7313.5
3.103,7306
3.109,7307.1
3.112,7315.3
3.127,7333.7
3.148,7368.8
3.154,7377.2
3.167,7394.1
3.174,7385.3
3.186,7369
3.193,7373.5
3.201,7391.5
3.212,7406.3
3.23,7428.5
3.241,7440.8
3.25,7438.4
3.258,7450.3
3.27,7462.9
3.28,7444.3
3.291,7448.3
3.304,7450
3.309,7457.4
3.321,7483.2
3.334,7508.8
3.344,7520
3.357,7531.5
3.366,7543.3
3.369,7539.1
3.38,7546.1
3.39,7561.6
3.405,7576
3.417,7570.8
3.437,7580.7
3.455,7575.4
3.461,7577.7
3.477,7588.3
3.491,7610.4
3.506,7625.9
3.523,7638.4
3.539,7654.5
3.554,7662.9
3.563,7657.9
3.571,7655.1
3.581,7673.9
3.601,7691.1
3.615,7696.1
3.622,7703.8
3.644,7724.1
3.664,7729.1
3.677,7728.9
3.691,7728.1
3.705,7747.4
3.715,7766.2
3.723,7765.7
3.73,7780.9
3.741,7785.3
3.753,7792
3.761,7783.9
3.77,7797
3.784,7823.5
3.792,7826.7
3.809,7831.4
3.82,7833.9
3.834,7841.6
3.846,7846.7
3.852,7845.1
3.861,7847.7
3.874,7850.8
3.885,7854
3.897,7857.2
3.902,7858.8
3.909,7862.9
3.915,7863.7
3.93,7872.4
3.945,7880.2
3.958,7890.4
3.972,7900.5
3.989,7915.8
4.002,7930.3
4.017,7946.4
4.031,7963.7
4.038,7972.1
4.047,7983.8
4.063,8001.8
4.074,8010.6
4.092,8022.4
4.111,8037.2
4.133,8053.8
4.156,8064.3
4.184,8071.9
4.2,8077.9
4.217,8074.9
4.238,8059
4.246,8056.4
4.257,8052.7
4.263,8050.6
4.271,8049.5
4.284,8042.3
4.296,8034.1
4.315,8017.9
4.328,8005.7
4.343,7995
4.351,7986.7
4.357,7983.8
4.371,7975.1
4.385,7962.5
4.398,7951.7
4.413,7941.3
4.423,7939.6
4.44,7950.3
4.454,7970
4.468,7990
