distance (miles),elevation (ft)
0,4740.124824
0.055681055,4749.934535
0.103961582,4759.05527
0.606905483,4843.1432
0.643050634,4851.214066
0.671546708,4856.922728
0.704541508,4859.973909
0.778584077,4861.811179
0.814486893,4866.535589
0.998350572,4909.120892
1.02552934,4921.095958
1.055255728,4931.463412
1.076873225,4932.710132
1.210784889,4937.959476
1.253479291,4938.910919
1.477433827,4983.202259
1.568495747,5021.456854
1.585856852,5031.7915
1.614601475,5040.551342
1.735557554,5078.609086
1.771367165,5062.53297
1.800528106,5047.57234
1.826327429,5037.008035
1.851666939,5029.199636
1.87757811,5030.282313
1.913275874,5038.648455
1.937478274,5043.241631
1.973971393,5052.067091
2.011228798,5059.645831
2.118931033,5119.193077
2.135496784,5135.53166
2.151105624,5151.804627
2.166130375,5165.190454
2.180782303,5172.769194
2.241763653,5140.45292
2.255036137,5133.464731
2.26728336,5133.431923
2.280692546,5143.208826
2.293940176,5160.236386
2.307461209,5177.36237
2.362191566,5201.837437
2.37419024,5210.498854
2.385716672,5222.408304
2.397019411,5232.31644
2.409732661,5236.548724
2.465531777,5218.668146
2.507778791,5200.065783
2.523859873,5200.689143
2.534497744,5204.166833
2.544831144,5212.040849
2.555729992,5225.032976
2.57924267,5254.298068
2.620321507,5282.382059
2.650246734,5304.888621
2.71011583,5336.811194
2.72177275,5348.195709
2.732261493,5360.137967
2.744024046,5372.309883
2.755059595,5376.509358
2.811032694,5377.887311
2.84785514,5369.422744
2.920077091,5336.220643
2.933094814,5328.70752
2.944900863,5326.017231
2.956719339,5336.975236
2.967785956,5352.034292
2.979772203,5369.980487
3.050173537,5435.039544
3.086175773,5451.214085
3.109881077,5467.71671
3.142527909,5500.721961
3.168687628,5520.21015
3.24085987,5559.809889
3.261495601,5616.929314
3.281553457,5674.770523
3.332530733,5772.01462
3.343920464,5779.691786
3.355229416,5757.480499
3.369477453,5718.340078
3.458495063,5596.358447
3.470978406,5610.334825
3.481883467,5629.626164
3.492049097,5647.96606
3.50332698,5659.842701
3.514455735,5655.183908
3.567446254,5664.17341
3.58167565,5699.901757
3.593301501,5726.279711
3.602696631,5734.842703
3.612992748,5726.673412
3.623636833,5710.367637
3.676857259,5706.233778
3.757125965,5789.074988
3.776910418,5769.521182
3.94197141,5839.107798
3.9564245,5840.124859
3.969976601,5843.438507
3.979346876,5850.623547
3.988536953,5859.416198
4.004618035,5868.766592
4.057136311,5829.330895
4.066953973,5824.737719
4.076286966,5831.200974
4.0868627,5846.128796
4.096959979,5859.153731
4.155070595,5882.119611
4.185101455,5856.49625
4.196845367,5853.248219
4.209415702,5860.662917
4.221296316,5875.820398
4.234239474,5892.683916
4.265090544,5927.887329
4.292660775,5939.895203
4.306243945,5946.194416
4.401145938,5837.959504
4.417028181,5819.980501
4.432139924,5818.56974
4.514552359,5975.623551
4.529030304,5995.341399
4.542551337,6006.135363
4.556233926,6009.186544
4.615866901,6033.924078
4.630518829,6043.044813
4.644474822,6052.296782
4.658586157,6058.956887
4.672790698,6064.501506
4.952239878,6156.561877
4.972179673,6142.913582
5.088028083,6184.809909
5.167762409,6228.47789
5.184850112,6234.514635
5.364563033,6263.74692
5.37712094,6260.203612
5.393431929,6254.72461
5.419324459,6250.787602
5.507702056,6267.323035
5.524280234,6266.535634
5.540790062,6262.762668
5.555715393,6254.330909
5.570994906,6242.323034
5.68966434,6149.344029
5.714382478,6141.994947
5.745861133,6183.989699
5.770200235,6209.711485
5.84076934,6213.451642
5.876156418,6216.502824
5.911972242,6214.075002
5.962241156,6210.695737
5.992359009,6209.941144
6.006433062,6213.221984
6.021557232,6217.257417
6.071235843,6220.964766
6.087534405,6223.261354
6.103273732,6222.637994
6.119000632,6220.111748
6.199070499,6227.395212
6.219432827,6226.01726
6.234115824,6229.035632
6.246978203,6232.283664
6.378416811,6266.043508
6.40231474,6274.836159
6.525277847,6295.505451
6.540619497,6290.584191
6.552518751,6288.189178
6.561826889,6290.223298
6.618259803,6305.380779
6.635080316,6310.761357
6.647371035,6313.123562
6.660842358,6314.468706
6.72768945,6323.228549
6.76827119,6329.396528
6.797985151,6327.362407
6.849776424,6322.900465
6.862570453,6320.275793
6.877216168,6319.554008
6.938296937,6345.636686
7.001627069,6354.79023
7.036162869,6363.057946
7.050429547,6366.765296
7.070524686,6369.291542
7.081305472,6368.635374
7.096429643,6372.375532
7.11474766,6376.246923
7.180370651,6377.198367
7.201758241,6376.246923
7.233212041,6380.085506
7.308223948,6375.361096
7.32584603,6383.267921
7.343151212,6388.779732
7.513301233,6407.414903
7.566030776,6406.529076
7.614174601,6395.275795
7.833282443,6401.837475
7.873162034,6400.557948
8.210771539,6468.700994
8.230152101,6470.308606
8.245089859,6472.539577
8.268931865,6475.918842
8.352400631,6492.454276
8.379144439,6499.14719
8.527453269,6511.515956
8.546846258,6509.908345
8.573235885,6523.622256
8.649074215,6609.514647
8.666764648,6628.609136
8.676165991,6634.711498
8.947444142,6666.962156
8.994935527,6689.63276
9.011196807,6690.420162
9.042607111,6683.69444
9.071643777,6675.000214
9.105738404,6680.544833
9.137683087,6692.29024
9.16659548,6704.626199
9.197471405,6721.227249
9.219119971,6721.391291
9.245869992,6715.649821
9.273396727,6703.281054
9.291509692,6691.043521
9.309709649,6683.038272
9.38390756,6641.994963
9.475621919,6614.501524
9.562172686,6576.575014
9.596683631,6577.26399
9.62619254,6597.244306
9.89025036,6570.964777
9.936076471,6553.838792
9.958464469,6543.930656
9.980026042,6535.105196
10.13272175,6502.723305
10.14998344,6500.131442
10.16717677,6502.493646
10.18592975,6509.744303
10.19901582,6514.042203
10.24212654,6510.794172
10.35068627,6492.552701
10.38128879,6483.464774
